Question	Answer	Reference
What is the command given to the congregation of Israel at the beginning of chapter 19?	You shall be holy, for I the Lord your God am holy.	Leviticus 19:2
Besides revering their parents, what else were the people commanded to keep?	My Sabbaths.	Leviticus 19:3
What must be done with a peace offering that is left over until the third day?	It shall be burned up with fire.	Leviticus 19:6
When reaping a harvest, what part of the field was not to be reaped?	The edge of the field.	Leviticus 19:9
Who were the gleanings of the harvest and the fallen grapes of the vineyard to be left for?	The poor and for the sojourner.	Leviticus 19:10
What must not remain with an employer all night until the morning?	The wages of a hired worker.	Leviticus 19:13
What two prohibitions are given concerning the deaf and the blind?	You shall not curse the deaf or put a stumbling block before the blind.	Leviticus 19:14
What is the rule for judging a neighbor in court?	You shall not be partial to the poor or defer to the great, but in righteousness shall you judge your neighbor.	Leviticus 19:15
What are you commanded to do instead of hating your brother in your heart?	You shall reason frankly with your neighbor.	Leviticus 19:17
What is the famous command regarding one's neighbor?	You shall love your neighbor as yourself.	Leviticus 19:18
What were the Israelites forbidden to sow in their fields?	Two kinds of seed.	Leviticus 19:19
What kind of garment were the Israelites forbidden to wear?	A garment of cloth made of two kinds of material.	Leviticus 19:19
If a man lies with a female slave assigned to another man, why are they not put to death?	Because she was not free.	Leviticus 19:20
What offering must a man bring if he lies with an engaged female slave?	A ram for a guilt offering.	Leviticus 19:21
For how long was the fruit of a newly planted tree to be considered forbidden?	Three years.	Leviticus 19:23
What was the status of the fruit from a tree in its fourth year?	It shall be holy, an offering of praise to the Lord.	Leviticus 19:24
In which year could the fruit of a newly planted tree be eaten?	The fifth year.	Leviticus 19:25
What two grooming practices were forbidden?	Rounding off the hair on your temples or marring the edges of your beard.	Leviticus 19:27
What two practices related to the dead or marking the body were forbidden?	Making any cuts on your body for the dead or tattooing yourselves.	Leviticus 19:28
Whom are the people commanded not to turn to for guidance?	Mediums or necromancers.	Leviticus 19:31
What actions are commanded in the presence of the elderly?	You shall stand up before the gray head and honor the face of an old man.	Leviticus 19:32
How is a stranger sojourning in the land to be treated?	As the native among you, and you shall love him as yourself.	Leviticus 19:34
What reason is given for treating the stranger with love?	For you were strangers in the land of Egypt.	Leviticus 19:34
What standards of measurement were the people to have?	Just balances, just weights, a just ephah, and a just hin.	Leviticus 19:36
What is the punishment for anyone who gives their child to Molech?	He shall surely be put to death; the people of the land shall stone him with stones.	Leviticus 20:2
What is the Lord's response if the people fail to punish a man who gives his child to Molech?	I will set my face against that man and against his clan and will cut them off.	Leviticus 20:5
What is the penalty for a person who turns to mediums and necromancers?	I will set my face against that person and will cut him off from among his people.	Leviticus 20:6
What is the penalty for anyone who curses his father or mother?	He shall surely be put to death.	Leviticus 20:9
What is the punishment for a man who commits adultery with his neighbor's wife?	Both the adulterer and the adulteress shall surely be put to death.	Leviticus 20:10
What is the penalty for a man who lies with his daughter-in-law?	Both of them shall surely be put to death.	Leviticus 20:12
What is the penalty for a man who lies with a male as with a woman?	They shall surely be put to death.	Leviticus 20:13
What is the punishment for a man who takes both a woman and her mother as wives?	He and they shall be burned with fire.	Leviticus 20:14
If a woman approaches an animal and lies with it, what is the penalty?	You shall kill the woman and the animal.	Leviticus 20:16
What is the punishment for a man who marries his sister?	They shall be cut off in the sight of the children of their people.	Leviticus 20:17
What is the consequence for a man who lies with his uncle's wife?	They shall bear their sin; they shall die childless.	Leviticus 20:20
What is the consequence for a man who takes his brother's wife?	It is impurity; they shall be childless.	Leviticus 20:21
What kind of land did the Lord promise to give the Israelites?	A land flowing with milk and honey.	Leviticus 20:24
The Lord declared He has separated Israel from whom?	The peoples.	Leviticus 20:24
Why are the Israelites to be holy to the Lord?	For I the Lord am holy and have separated you from the peoples, that you should be mine.	Leviticus 20:26
What is the punishment for a man or a woman who is a medium or a necromancer?	They shall surely be put to death; they shall be stoned with stones.	Leviticus 20:27
For which relatives was a priest allowed to make himself unclean for the dead?	His mother, his father, his son, his daughter, his brother, or his virgin sister.	Leviticus 21:2-3
What were priests forbidden to do to their heads and beards as a sign of mourning?	Make bald patches on their heads or shave off the edges of their beards.	Leviticus 21:5
What kinds of women were priests forbidden to marry?	A prostitute, a woman who has been defiled, or a woman divorced from her husband.	Leviticus 21:7
What is the punishment for the daughter of a priest who profanes herself by whoring?	She shall be burned with fire.	Leviticus 21:9
What two signs of mourning were forbidden to the high priest?	He shall not let the hair of his head hang loose nor tear his clothes.	Leviticus 21:10
For whom was the high priest forbidden to make himself unclean, even for the dead?	His father or for his mother.	Leviticus 21:11
What kind of wife must the high priest take?	A wife in her virginity.	Leviticus 21:13
A descendant of Aaron with a blemish was not allowed to approach to offer what?	The bread of his God.	Leviticus 21:17
Name three blemishes that would prevent a priest from serving at the altar.	(Any three from) blind, lame, mutilated face, limb too long, injured foot or hand, hunchback, dwarf, defect in his sight, itching disease, scabs, crushed testicles.	Leviticus 21:18-20
Could a priest with a blemish eat the bread of his God?	Yes, both of the most holy and of the holy things.	Leviticus 21:22
What two things in the sanctuary was a priest with a blemish not allowed to approach?	The veil and the altar.	Leviticus 21:23
What is the penalty for any of a priest's offspring who approaches the holy things while unclean?	That person shall be cut off from my presence.	Leviticus 22:3
A priest with what two conditions was not allowed to eat of the holy things until he is clean?	A leprous disease or a discharge.	Leviticus 22:4
When does a priest who has become unclean become clean again and able to eat the holy things?	When the sun goes down, after he has bathed his body in water.	Leviticus 22:6-7
Who was forbidden from eating a holy thing?	A lay person, a foreign guest of the priest, or a hired worker.	Leviticus 22:10
Under what condition could a slave eat a priest's holy food?	If a priest buys a slave as his property for money.	Leviticus 22:11
If a priest's daughter marries a layman, can she eat of the holy things?	No, she shall not eat of the contribution of the holy things.	Leviticus 22:12
Under what conditions could a priest's widowed or divorced daughter eat of her father's food again?	If she has no child and returns to her father's house.	Leviticus 22:13
What must a person do if they eat a holy thing unintentionally?	Add a fifth of its value to it and give the holy thing to the priest.	Leviticus 22:14
What is the requirement for a burnt offering to be accepted?	It shall be a male without blemish.	Leviticus 22:19
What is the requirement for a peace offering from the herd or flock to be accepted?	It must be perfect; there shall be no blemish in it.	Leviticus 22:21
A bull or lamb with a part too long or too short could be presented for which type of offering, but not another?	For a freewill offering, but not for a vow offering.	Leviticus 22:23
What type of animal from a foreigner was not to be offered as the bread of God?	Animals with a blemish or mutilation.	Leviticus 22:25
For how long must a newborn ox, sheep, or goat remain with its mother before it is acceptable as an offering?	Seven days.	Leviticus 22:27
From what day is a newborn animal acceptable as a food offering?	From the eighth day on.	Leviticus 22:27
What is the rule about killing an animal and her young?	You shall not kill an ox or a sheep and her young in one day.	Leviticus 22:28
When must a sacrifice of thanksgiving be eaten?	It shall be eaten on the same day; you shall leave none of it until morning.	Leviticus 22:30
What is the name for the appointed feasts of the Lord?	Holy convocations.	Leviticus 23:2
On what day of the week is the Sabbath of solemn rest?	The seventh day.	Leviticus 23:3
On what day of the first month is the Lord's Passover?	On the fourteenth day of the month at twilight.	Leviticus 23:5
What feast begins on the fifteenth day of the first month?	The Feast of Unleavened Bread.	Leviticus 23:6
For how many days was the Feast of Unleavened Bread celebrated?	Seven days.	Leviticus 23:6
After entering the promised land, what were the people to bring to the priest from their first harvest?	The sheaf of the firstfruits of your harvest.	Leviticus 23:10
When was the priest to wave the sheaf of firstfruits?	On the day after the Sabbath.	Leviticus 23:11
What was to be offered with the wave sheaf?	A male lamb a year old without blemish as a burnt offering.	Leviticus 23:12
How long were the people to count from the day the wave sheaf was offered?	Seven full weeks, or fifty days.	Leviticus 23:15-16
What were the people to present after counting fifty days from the wave sheaf offering?	A grain offering of new grain to the Lord.	Leviticus 23:16
What was unique about the two loaves of bread brought as firstfruits fifty days after the wave sheaf?	They shall be baked with leaven.	Leviticus 23:17
What animals were to be presented with the bread of firstfruits?	Seven lambs, one bull, and two rams.	Leviticus 23:18
Who were the gleanings of the harvest to be left for?	The poor and for the sojourner.	Leviticus 23:22
What was to be observed on the first day of the seventh month?	A day of solemn rest, a memorial proclaimed with blast of trumpets.	Leviticus 23:24
What is the name of the holy day on the tenth day of the seventh month?	The Day of Atonement.	Leviticus 23:27
What is the penalty for anyone who is not afflicted on the Day of Atonement?	That person shall be cut off from his people.	Leviticus 23:29
What is the penalty for anyone who does any work on the Day of Atonement?	That person I will destroy from among his people.	Leviticus 23:30
What feast begins on the fifteenth day of the seventh month?	The Feast of Booths.	Leviticus 23:34
What was to happen on the eighth day of the Feast of Booths?	A holy convocation and a solemn assembly.	Leviticus 23:36
On the first day of the Feast of Booths, what were the people to take?	The fruit of splendid trees, branches of palm trees, boughs of leafy trees, and willows of the brook.	Leviticus 23:40
What were the people to dwell in for seven days during the feast in the seventh month?	Booths.	Leviticus 23:42
Why were the Israelites to dwell in booths?	So that their generations may know that the Lord made them dwell in booths when He brought them out of Egypt.	Leviticus 23:43
What kind of oil were the people to bring for the lamp in the tent of meeting?	Pure oil from beaten olives.	Leviticus 24:2
How often was Aaron to arrange the lamp?	From evening to morning before the Lord regularly.	Leviticus 24:3
On what was the lamp to be placed?	On the lampstand of pure gold.	Leviticus 24:4
How many loaves of bread were to be baked from fine flour for the table before the Lord?	Twelve loaves.	Leviticus 24:5
How were the twelve loaves to be arranged on the table?	In two piles, six in a pile.	Leviticus 24:6
What was to be put on each pile of bread?	Pure frankincense.	Leviticus 24:7
On what day was Aaron to arrange the bread before the Lord?	Every Sabbath day.	Leviticus 24:8
Who was allowed to eat the bread from the table after it was replaced?	Aaron and his sons.	Leviticus 24:9
What was the nationality of the father of the man who blasphemed the Name?	An Egyptian.	Leviticus 24:10
What was the name of the blasphemer's mother?	Shelomith, the daughter of Dibri, of the tribe of Dan.	Leviticus 24:11
What was done with the man who blasphemed while they waited for the Lord's will?	They put him in custody.	Leviticus 24:12
What were those who heard the man curse instructed to do?	Lay their hands on his head.	Leviticus 24:14
What was the punishment for blaspheming the name of the Lord?	He shall surely be put to death; all the congregation shall stone him.	Leviticus 24:16
What was the punishment for anyone who takes a human life?	He shall surely be put to death.	Leviticus 24:17
What must a person who takes an animal's life do?	Make it good, life for life.	Leviticus 24:18
What is the principle of justice for injuring a neighbor?	Fracture for fracture, eye for eye, tooth for tooth.	Leviticus 24:20
Was there a different rule for the sojourner and the native regarding these laws?	No, you shall have the same rule for the sojourner and for the native.	Leviticus 24:22
Where did the Lord speak to Moses about the Sabbath year and Jubilee?	On Mount Sinai.	Leviticus 25:1
In the year after the Israelites enter the land, what is the land to do?	Keep a Sabbath to the Lord.	Leviticus 25:2
For how many years were the people to sow their fields and prune their vineyards?	Six years.	Leviticus 25:3
What was the seventh year for the land to be?	A Sabbath of solemn rest for the land, a Sabbath to the Lord.	Leviticus 25:4
What were the Israelites not to reap during the Sabbath year?	What grows of itself in your harvest.	Leviticus 25:5
How many years were to be counted to determine the Year of Jubilee?	Seven weeks of years, or forty-nine years.	Leviticus 25:8
In which year is the Year of Jubilee?	The fiftieth year.	Leviticus 25:10
What was to be proclaimed throughout the land in the Year of Jubilee?	Liberty.	Leviticus 25:10
What was each person to do in the Year of Jubilee?	Return to his property and return to his clan.	Leviticus 25:10
The price of land was to be based on what?	The number of years for crops after the jubilee.	Leviticus 25:15
What did the Lord promise to command in the sixth year to provide for the Sabbath year?	His blessing, so that it will produce a crop sufficient for three years.	Leviticus 25:21
Why was the land not to be sold in perpetuity?	For the land is mine.	Leviticus 25:23
How does the Lord describe the Israelites' relationship to Him and the land?	For you are strangers and sojourners with me.	Leviticus 25:23
If a man sells a dwelling house in a walled city, how long does he have to redeem it?	Within a full year of its sale.	Leviticus 25:29
What happens to a house in a walled city if it is not redeemed within a year?	It belongs in perpetuity to the buyer; it shall not be released in the jubilee.	Leviticus 25:30
What happens to houses in villages without walls during the Jubilee?	They shall be released in the jubilee.	Leviticus 25:31
What idols were the people forbidden from making for themselves?	Idols, an image, or a pillar.	Leviticus 26:1
If the Israelites walk in God's statutes, what will He give them in their season?	Rains.	Leviticus 26:4
What blessing regarding enemies is promised for obedience?	Five of you shall chase a hundred, and a hundred of you shall chase ten thousand.	Leviticus 26:8
What does God promise to make among the people if they are obedient?	I will make my dwelling among you.	Leviticus 26:11
What did the Lord break to make the Israelites walk erect?	The bars of your yoke.	Leviticus 26:13
What is the first curse mentioned if the people do not listen to the commandments?	Panic, with wasting disease and fever.	Leviticus 26:16
If the people will not listen, what will their heavens and earth become like?	Your heavens like iron and your earth like bronze.	Leviticus 26:19
If the people continue to walk contrary to God, what will He let loose against them?	The wild beasts.	Leviticus 26:22
What will happen to the bread supply if the people persist in disobedience?	Ten women shall bake your bread in a single oven.	Leviticus 26:26
What terrible act will the people commit because of famine if they walk contrary to God in fury?	You shall eat the flesh of your sons, and you shall eat the flesh of your daughters.	Leviticus 26:29
What will happen to the disobedient Israelites among the nations?	I will scatter you among the nations.	Leviticus 26:33
When will the land enjoy its Sabbaths?	When it lies desolate, while you are in your enemies' land.	Leviticus 26:34
What will the Lord send into the hearts of those left in their enemies' lands?	Faintness.	Leviticus 26:36
What will happen to those who are left in their enemies' lands?	They shall rot away because of their iniquity.	Leviticus 26:39
What must the people do for God to remember His covenant?	Confess their iniquity and the iniquity of their fathers.	Leviticus 26:40
Which three patriarchs' covenants will God remember?	Jacob, Isaac, and Abraham.	Leviticus 26:42
What promise does God make to the Israelites even when they are in the land of their enemies?	I will not spurn them, neither will I abhor them so as to destroy them utterly.	Leviticus 26:44
What is the valuation for a male between twenty and sixty years old if vowed to the Lord?	Fifty shekels of silver.	Leviticus 27:3
What is the valuation for a female between twenty and sixty years old if vowed to the Lord?	Thirty shekels.	Leviticus 27:4
What is the valuation for a male between five and twenty years old?	Twenty shekels.	Leviticus 27:5
What is the valuation for a female between five and twenty years old?	Ten shekels.	Leviticus 27:5
What is the valuation for a male child from one month to five years old?	Five shekels of silver.	Leviticus 27:6
What is the valuation for a female child from one month to five years old?	Three shekels of silver.	Leviticus 27:6
What is the valuation for a male sixty years or older?	Fifteen shekels.	Leviticus 27:7
What is the valuation for a female sixty years or older?	Ten shekels.	Leviticus 27:7
What happens if someone is too poor to pay their valuation?	The priest shall value him according to what the vower can afford.	Levitic_27:8
If a person wishes to redeem a dedicated unclean animal, what must they add to its valuation?	A fifth.	Leviticus 27:13
If a man wishes to redeem a house he dedicated to the Lord, what must he add to the valuation price?	A fifth.	Leviticus 27:15
How was a dedicated field to be valued?	In proportion to its seed; a homer of barley seed was valued at fifty shekels of silver.	Leviticus 27:16
If the person who dedicated a field wishes to redeem it, what must they add to its valuation price?	A fifth.	Leviticus 27:19
What happens to a dedicated field when it is released in the jubilee?	It shall be a holy gift to the Lord, and the priest shall be in possession of it.	Leviticus 27:21
How many gerahs make a shekel of the sanctuary?	Twenty gerahs.	Leviticus 27:25
What kind of animal could not be dedicated by a man as a special vow?	A firstborn of animals.	Leviticus 27:26
What could not be sold or redeemed if it was devoted to the Lord?	Anything that a man has, whether man or beast, or of his inherited field.	Leviticus 27:28
What part of the produce of the land is the Lord's?	Every tithe of the land, whether of the seed of the land or of the fruit of the trees.	Leviticus 27:30
If a man wishes to redeem some of his tithe, what must he add to it?	A fifth to it.	Leviticus 27:31
How was the tithe of herds and flocks determined?	Every tenth animal of all that pass under the herdsman's staff.	Leviticus 27:32
What was the final statement of the book of Leviticus?	These are the commandments that the Lord commanded Moses for the people of Israel on Mount Sinai.	Leviticus 27:34
