Question	Answer	Reference
Where did Jesus move to live after leaving Nazareth?	Capernaum by the sea	Matthew 4:13
Whose mother-in-law did Jesus heal of a fever?	Simon's (Peter's)	Matthew 8:14
What was the reaction of the disciples to Jesus' teaching with authority in the Capernaum synagogue?	They were astonished.	Mark 1:22
What did Jesus say to the unclean spirit in the man in the synagogue?	"Be silent, and come out of him!"	Mark 1:25
What did the people say about Jesus' teaching after he cast out the demon?	"What is this? A new teaching with authority!"	Mark 1:27
Who did Jesus say are like "unmarked graves"?	The Pharisees	Luke 11:44
Why did Jesus say "the Son of Man is lord even of the Sabbath"?	Because the Sabbath was made for man, not man for the Sabbath.	Mark 2:27-28
What did the disciples do with the five loaves and two fish before distributing them?	Jesus took them, looked up to heaven, said a blessing, broke the loaves, and gave them to the disciples.	Matthew 14:19
How did the disciples' hearts feel after the feeding of the five thousand and walking on water?	Their hearts were hardened.	Mark 6:52
What was the disciples' question to Jesus about the blind man?	"Rabbi, who sinned, this man or his parents, that he was born blind?"	John 9:2
What did the Pharisees say to the healed blind man to try to discredit Jesus?	"Give glory to God. We know that this man is a sinner."	John 9:24
Who did Jesus say he was in his allegory?	"I am the door of the sheep" and "I am the good shepherd."	John 10:7, 11
What did the lawyer say was the way to inherit eternal life?	"You shall love the Lord your God with all your heart... and your neighbor as yourself."	Luke 10:27
In what city did Martha and Mary live?	Bethany	John 11:1
What did Jesus say about his own will when he came from heaven?	"For I have come down from heaven, not to do my own will but the will of him who sent me."	John 6:38
What did Jesus say would make a person his disciple?	Abiding in his word	John 8:31
What did the blind Bartimaeus do when he was called by Jesus?	He threw off his cloak, sprang up, and came to Jesus.	Mark 10:50
What did the servant who received one mina say he was afraid of?	His master, because he was a severe man.	Luke 19:21
What did the chief priests and scribes seek after Jesus cleansed the temple?	A way to destroy him	Mark 11:18
In the parable of the two sons, who did Jesus say would enter the kingdom of God before the chief priests and elders?	The tax collectors and the prostitutes	Matthew 21:31
After Jesus told the parable of the wicked tenants, what did he ask the chief priests and Pharisees?	"Have you never read in the Scriptures: ‘The stone that the builders rejected has become the cornerstone...’?"	Matthew 21:42
To test Jesus, the Sadducees presented a scenario based on what law?	The Levirate marriage law from Moses.	Matthew 22:24
What did the scribe say after Jesus answered the question about the greatest commandment?	"You are right, Teacher. You have truly said that he is one, and there is no other besides him."	Mark 12:32
What did Jesus ask the scribes in the temple?	"How can the scribes say that the Christ is the son of David?"	Mark 12:35
What did Jesus say about the end, even after wars and rumors of wars?	"the end is not yet"	Matthew 24:6
In the Olivet Discourse, Jesus told his followers not to be anxious beforehand about what?	What they are to say when brought to trial.	Mark 13:11
What will the Son of Man send out with a loud trumpet call?	His angels	Matthew 24:31
What was the foolish virgins' request to the wise virgins?	"Give us some of your oil, for our lamps are going out."	Matthew 25:8
What did the master say to the worthless servant who hid his talent?	"cast the worthless servant into the outer darkness. In that place there will be weeping and gnashing of teeth."	Matthew 25:30
What did Mary's anointing of Jesus prepare him for?	His burial	Matthew 26:12
What did Jesus say to the disciples on the first day of Unleavened Bread?	"Go into the city to a certain man and say to him, ‘The Teacher says, My time is at hand. I will keep the Passover at your house with my disciples.’"	Matthew 26:18
What did Jesus say about the one who dipped his hand in the dish with him?	"He who has dipped his hand in the dish with me will betray me."	Matthew 26:23
What did Jesus say about the wine at the Last Supper, referring to a future event?	"I will not drink again of this fruit of the vine until that day when I drink it new with you in my Father’s kingdom."	Matthew 26:29
What does Jesus say the Father who dwells in him does?	His works	John 14:10
What did Jesus say his disciples are?	The branches	John 15:5
According to Jesus, what will the world do when his disciples weep and lament?	The world will rejoice.	John 16:20
What did Jesus' disciples say that showed they finally understood his teaching?	"Ah, now you are speaking plainly and not using figurative speech!"	John 16:29
What did Jesus say he had accomplished on earth?	The work that the Father gave him to do.	John 17:4
What did Jesus ask his Father to do for his disciples?	"keep them from the evil one"	John 17:15
What did Jesus say about the flesh in Gethsemane?	"The spirit indeed is willing, but the flesh is weak."	Matthew 26:41
After his arrest, what did all the disciples do?	They left him and fled.	Matthew 26:56
What did the false witnesses at Jesus' trial disagree about?	His statement about destroying the temple.	Mark 14:58-59
What was the accusation that made Peter deny Jesus the third time?	"Certainly you too are one of them, for your accent betrays you."	Matthew 26:73
What did Pilate perceive was the reason the chief priests had delivered Jesus up?	Out of envy	Mark 15:10
What did Jesus say to his mother from the cross?	"Woman, behold, your son!"	John 19:26
What did Jesus say to the disciple whom he loved from the cross?	"Behold, your mother!"	John 19:27
What were the last actions of Jesus before he "gave up his spirit"?	He cried out with a loud voice, or bowed his head.	Matthew 27:50, John 19:30
What women were looking on from a distance at the crucifixion?	Mary Magdalene, Mary the mother of James the younger and of Joses, and Salome, among others.	Mark 15:40
What did Joseph of Arimathea wrap Jesus' body in?	A clean linen shroud	Matthew 27:59
How did the women who visited the tomb react when they saw the stone rolled away and fled?	They were seized with trembling and astonishment and said nothing to anyone, for they were afraid.	Mark 16:8
What was the first thing the risen Jesus said to the ten disciples in the locked room?	"Peace be with you."	Luke 24:36
What did the other disciples tell Thomas they had seen?	"We have seen the Lord."	John 20:25
After the miraculous catch of fish, what did Jesus tell Peter to do for his sheep?	"Tend my sheep" and "Feed my sheep."	John 21:16-17
What did Jesus prophesy about Peter's death?	That he would stretch out his hands and another would dress him and carry him where he did not want to go, signifying the kind of death by which he would glorify God.	John 21:18-19
After the ascension, what did the Lord do while the disciples preached?	He worked with them and confirmed the message by accompanying signs.	Mark 16:20
How many generations were there from David to the deportation to Babylon?	Fourteen generations	Matthew 1:17
What did the angel tell Mary would overshadow her?	The power of the Most High	Luke 1:35
What did Mary's song proclaim about the proud?	That God has scattered them in the thoughts of their hearts.	Luke 1:51
How did Joseph show he was a just man?	He was unwilling to put Mary to shame and resolved to divorce her quietly.	Matthew 1:19
Who was the governor of Syria when the first registration took place?	Quirinius	Luke 2:2
To whom did the angel first announce the birth of a Savior?	To shepherds out in the field.	Luke 2:8-11
How old was Anna's husband when he died?	The text states she had lived with her husband for seven years from when she was a virgin.	Luke 2:36
What question did the wise men ask Herod?	"Where is he who has been born king of the Jews?"	Matthew 2:2
What did the prophecy from Jeremiah speak of?	Rachel weeping for her children.	Matthew 2:18
What was the hometown of Joseph and Mary in Galilee?	Nazareth	Luke 2:39
What did all who heard the twelve-year-old Jesus in the temple marvel at?	His understanding and his answers.	Luke 2:47
What was the first verse of Mark's gospel?	"The beginning of the gospel of Jesus Christ, the Son of God."	Mark 1:1
What did John the Baptist tell the crowds to do with their extra tunics?	Share with him who has none.	Luke 3:11
What was Jesus doing when the heavens were opened at his baptism?	Praying	Luke 3:21
After forty days of fasting, what was Jesus' condition?	He was hungry.	Matthew 4:2
What did the devil say to Jesus on the pinnacle of the temple?	"If you are the Son of God, throw yourself down..."	Matthew 4:6
What was Andrew and Peter's city?	Bethsaida	John 1:44
What was Jesus' first miracle?	Turning water into wine at Cana.	John 2:11
Why did Jesus not entrust himself to the people who believed in him at the Passover Feast?	Because he knew all people and what was in man.	John 2:24-25
What did Jesus tell Nicodemus about the wind?	"The wind blows where it wishes, and you hear its sound, but you do not know where it comes from or where it goes."	John 3:8
What did John's disciples say to him about Jesus?	"Rabbi, he who was with you across the Jordan... look, he is baptizing, and all are going to him."	John 3:26
What did Jesus say about a prophet in his own hometown?	"a prophet has no honor in his own hometown"	John 4:44
What did the man healed of leprosy do that was contrary to Jesus' instructions?	He began to talk freely about it and spread the news.	Mark 1:45
Who was Levi's father?	Alphaeus	Mark 2:14
What did Jesus say to the disciples of John about the wedding guests?	"Can the wedding guests mourn as long as the bridegroom is with them?"	Matthew 9:15
What did the Jews say to the man healed on the Sabbath?	"It is the Sabbath, and it is not lawful for you to take up your bed."	John 5:10
Who did Jesus say has life in himself, just as the Father has life in himself?	The Son	John 5:26
What did Jesus say about the guilt of those who would have condemned the guiltless disciples?	"if you had known what this means, ‘I desire mercy, and not sacrifice,’ you would not have condemned the guiltless."	Matthew 12:7
What was Jesus' emotional state when he looked at the hard-hearted people in the synagogue?	He looked at them with anger, grieved at their hardness of heart.	Mark 3:5
Which apostle was also a tax collector?	Matthew	Matthew 10:3
What did Jesus say about a person who is not with him?	"Whoever is not with me is against me, and whoever does not gather with me scatters."	Matthew 12:30
What did Jesus say about every careless word people speak?	They will give account for it on the day of judgment.	Matthew 12:36
What did Jesus say his "yoke" and "burden" are?	"my yoke is easy, and my burden is light"	Matthew 11:30
Who did the Pharisee Simon say would love the moneylender more?	"The one, I suppose, for whom he cancelled the larger debt."	Luke 7:43
What did Jesus tell the woman who anointed his feet?	"Your sins are forgiven... Your faith has saved you; go in peace."	Luke 7:48, 50
Who was the household manager of Herod whose wife, Joanna, followed Jesus?	Chuza	Luke 8:3
According to the parable of the soils in Luke, what is the seed?	The word of God	Luke 8:11
What does the seed on the good soil represent in Luke's gospel?	Those who, hearing the word, hold it fast in an honest and good heart, and bear fruit with patience.	Luke 8:15
What did Jesus ask his disciples after he calmed the storm on the lake?	"Where is your faith?"	Luke 8:25
How did the woman with the flow of blood spend all her living?	On physicians	Luke 8:43
What did Jesus say to the woman with the flow of blood?	"Daughter, your faith has made you well; go in peace."	Luke 8:48
What did the people do when Jesus said Jairus's daughter was not dead but sleeping?	They laughed at him.	Luke 8:53
What did Jesus tell the parents of Jairus's daughter to do after he raised her?	To tell no one what had happened.	Luke 8:56
What did Jesus say about the harvest and the laborers?	"The harvest is plentiful, but the laborers are few"	Matthew 9:37
What did Jesus give the Twelve authority over?	Unclean spirits, to cast them out, and to heal every disease and every affliction.	Matthew 10:1
What did Jesus tell his disciples to do if a town would not receive them?	Shake off the dust from your feet when you leave.	Matthew 10:14
What was Peter's response to Jesus' question, "But who do you say that I am?"	"You are the Christ."	Mark 8:29
For how many days after his transfiguration did Jesus and the disciples stay on the mountain?	The text says they came down the next day.	Luke 9:37
What did the father of the boy with the unclean spirit say to Jesus?	"I believe; help my unbelief!"	Mark 9:24
What did Jesus say about the greatness of the one who is least among the disciples?	"For he who is least among you all is the one who is great."	Luke 9:48
What did Jesus say about a man with a hundred sheep?	If one goes astray, he leaves the ninety-nine to go in search of it.	Matthew 18:12
What did Jesus say to do if a brother who sins against you refuses to listen after being approached alone and then with witnesses?	Tell it to the church.	Matthew 18:17
What did the Samaritan villagers do when Jesus' messengers went to make preparations?	They did not receive him.	Luke 9:53
Why did the Samaritan villagers not receive Jesus?	Because his face was set toward Jerusalem.	Luke 9:53
What did Jesus say would flow from the heart of whoever believes in him?	Rivers of living water	John 7:38
What did Jesus say about himself that he had been telling them from the beginning?	He is the one he claimed to be ("I am he").	John 8:25
What did the Jews claim about their relationship to Abraham?	"We are offspring of Abraham and have never been enslaved to anyone."	John 8:33
What was the pool where the blind man was told to wash?	The pool of Siloam	John 9:7
What does "Siloam" mean?	Sent	John 9:7
What did the formerly blind man's parents say when questioned by the Pharisees?	"We know that this is our son and that he was born blind. But how he now sees we do not know... Ask him; he is of age."	John 9:20-21
What did Jesus say to the Pharisees who asked if they were also blind?	"If you were blind, you would have no guilt; but now that you say, ‘We see,’ your guilt remains."	John 9:41
What does a stranger do that the sheep will not do?	The sheep will flee from him, for they do not know the voice of strangers.	John 10:5
What did the seventy-two do after returning from their mission?	They returned with joy.	Luke 10:17
Where did the Good Samaritan take the injured man?	To an inn	Luke 10:34
How much money did the Good Samaritan give the innkeeper?	Two denarii	Luke 10:35
What did Jesus say to Martha about her being anxious and troubled?	"Martha, Martha, you are anxious and troubled about many things, but one thing is necessary."	Luke 10:41-42
What did the man ask for from his friend at midnight?	Three loaves	Luke 11:5
What did the woman in the crowd say to Jesus?	"Blessed is the womb that bore you, and the breasts at which you nursed!"	Luke 11:27
When did the scribes and Pharisees begin to press Jesus hard and provoke him to speak?	As he went away from the Pharisee's house.	Luke 11:53
What did Jesus say about the person who acknowledges him before men?	The Son of Man also will acknowledge him before the angels of God.	Luke 12:8
What did the vinedresser want to do to the barren fig tree?	Dig around it and put on manure.	Luke 13:8
What did Jesus say to the woman who was bent over for eighteen years?	"Woman, you are freed from your disability."	Luke 13:12
To whom did Jesus compare the bent-over woman, as a reason for healing her on the Sabbath?	A daughter of Abraham whom Satan bound for eighteen years.	Luke 13:16
What did Jesus say about his sheep?	"My sheep hear my voice, and I know them, and they follow me."	John 10:27
What did Jesus say about the works he does in his Father's name?	They bear witness about him.	John 10:25
What was the third excuse given by a guest in the parable of the great banquet?	"I have married a wife, and therefore I cannot come."	Luke 14:20
What kind of man was having a feast when he invited many guests?	A man who gave a great banquet.	Luke 14:16
What did the father say about his prodigal son that warranted a celebration?	"For this my son was dead, and is alive again; he was lost, and is found."	Luke 15:24
How did the Pharisees justify themselves before men?	They were lovers of money and tried to appear righteous.	Luke 16:14-15
What did Jesus say to his apostles when they asked him to increase their faith?	"If you had faith like a grain of mustard seed, you could say to this mulberry tree, ‘Be uprooted and planted in the sea,’ and it would obey you."	Luke 17:6
What did Martha say to Jesus when he arrived after Lazarus's death?	"Lord, if you had been here, my brother would not have died."	John 11:21
What did Jesus command at the tomb of Lazarus?	"Take away the stone."	John 11:39
What did Jesus say to Martha when she worried about the odor from Lazarus' tomb?	"Did I not tell you that if you believed you would see the glory of God?"	John 11:40
What was Lazarus bound with when he came out of the tomb?	His hands and feet were bound with linen strips, and his face was wrapped with a cloth.	John 11:44
What did Jesus say would happen on the day the Son of Man is revealed?	It will be like the days of Noah and the days of Lot.	Luke 17:26, 28-30
What did Jesus say to the disciples when he brought children to him?	"Let the little children come to me and do not hinder them, for to such belongs the kingdom of God."	Matthew 19:14
What was Peter's declaration after Jesus told the disciples to leave everything and follow him?	"See, we have left everything and followed you. What then will we have?"	Matthew 19:27
In the third prediction of his death, what did Jesus say would happen to the Son of Man?	He would be delivered to the Gentiles, mocked, shamefully treated, spit upon, flogged, and killed, and on the third day he will rise.	Luke 18:32-33
What did James and John say when Jesus asked if they could drink the cup he was to drink?	"We are able."	Matthew 20:22
Who was sitting by the roadside begging as Jesus drew near to Jericho?	A blind man	Luke 18:35
What did Jesus say to blind Bartimaeus that healed him?	"Go your way; your faith has made you well."	Mark 10:52
What did the disciples spread on the colt for Jesus to sit on?	Their cloaks	Luke 19:35
How did Jesus weep over Jerusalem?	He wept over it.	Luke 19:41
After cleansing the temple, what was Jesus' daily routine?	He was teaching daily in the temple.	Luke 19:47
What did Jesus say to the disciples who questioned his authority?	He asked them a question about the baptism of John.	Matthew 21:24-25
What was the name of the two parables Jesus told in response to the questioning of his authority?	The Parable of the Two Sons and the Parable of the Wicked Tenants.	Matthew 21:28, 33
What did the tenants do to the first group of servants sent by the landowner?	They beat one, killed another, and stoned another.	Matthew 21:35
What did the guests at the wedding feast do when they were called?	They would not come.	Matthew 22:3
What did David call the Christ in the Spirit?	Lord	Matthew 22:43
What did Jesus say the scribes and Pharisees "shut" in people's faces?	The kingdom of heaven	Matthew 23:13
What did Jesus say about a poor widow's gift?	"this poor widow has put in more than all those who are contributing to the offering box"	Mark 12:43
What did the disciples point out to Jesus as he was leaving the temple?	The buildings of the temple	Matthew 24:1
What did Jesus say about his words passing away?	"Heaven and earth will pass away, but my words will not pass away."	Matthew 24:35
In the parable of the faithful servant, what does the wicked servant do?	He says 'My master is delayed,' and begins to beat his fellow servants and eats and drinks with drunkards.	Matthew 24:48-49
What did the King say to the righteous at the judgment?	"Truly, I say to you, as you did it to one of the least of these my brothers, you did it to me."	Matthew 25:40
How did the disciples react to the woman anointing Jesus with expensive ointment?	They were indignant, saying, "Why this waste?"	Matthew 26:8
What did the disciples eat during the Last Supper?	The Passover meal, including bread and wine.	Matthew 26:17, 26-27
What did Jesus say he would not drink again until he drank it new in his Father's kingdom?	The fruit of the vine	Matthew 26:29
Jesus told his disciples that because he lives, what will also happen?	"you also will live"	John 14:19
How did Jesus say his disciples would be clean?	"Already you are clean because of the word that I have spoken to you."	John 15:3
What did Jesus say is the reason the world hates his disciples?	"If you were of the world, the world would love you as its own; but because you are not of the world... therefore the world hates you."	John 15:19
What did Jesus say about the things he still had to say to his disciples?	"I still have many things to say to you, but you cannot bear them now."	John 16:12
What did Jesus say about his joy being in his disciples?	"These things I have spoken to you, that my joy may be in you, and that your joy may be full."	John 15:11
What was Jesus' desire for his followers, as expressed in his prayer?	That they may all be one.	John 17:21
What did Jesus say to his disciples when he found them sleeping in Gethsemane?	"So, could you not watch with me one hour? Watch and pray that you may not enter into temptation."	Matthew 26:40-41
What was the name of the father-in-law of Caiaphas?	Annas	John 18:13
What was the high priest's question to Jesus about?	His disciples and his teaching.	John 18:19
When the high priest tore his robes, what did he accuse Jesus of?	Blasphemy	Matthew 26:65
Where was Peter when he denied Jesus for the third time?	In the courtyard of the high priest.	Matthew 26:69
What did Pilate say to the chief priests and crowds after questioning Jesus for the first time?	"I find no guilt in this man."	Luke 23:4
What was the crime of Barabbas?	He had been thrown into prison for an insurrection started in the city and for murder.	Luke 23:19
What did the soldiers shout at Jesus in mockery?	"Hail, King of the Jews!"	Matthew 27:29
What did Jesus say about the wood when the women of Jerusalem were lamenting?	"For if they do these things when the wood is green, what will happen when it is dry?"	Luke 23:31
What did the soldiers do with Jesus' clothing at the crucifixion?	They divided his garments among them by casting lots.	Matthew 27:35
What did the chief priests, scribes, and elders say in mockery at the cross?	"He saved others; he cannot save himself. He is the King of Israel; let him come down now from the cross, and we will believe in him."	Matthew 27:42
What did Jesus say that made some bystanders think he was calling Elijah?	"Eli, Eli, lema sabachthani?"	Matthew 27:46-47
What did the saints who were raised do after Jesus' resurrection?	They went into the holy city and appeared to many.	Matthew 27:53
What was the Jewish day of the week when Jesus was buried?	The day of Preparation	Luke 23:54
When did the women visit the tomb?	On the first day of the week, at early dawn/when the sun had risen.	Luke 24:1, Mark 16:2
What was the appearance of the two men who stood by the women at the empty tomb?	They were in dazzling apparel.	Luke 24:4
What did the two men at the tomb remind the women Jesus had told them in Galilee?	"that the Son of Man must be delivered into the hands of sinful men and be crucified and on the third day rise."	Luke 24:7
Who did Peter see in the tomb?	The linen cloths by themselves.	Luke 24:12
What did the face cloth in the tomb look like?	It was not lying with the linen cloths but folded up in a place by itself.	John 20:7
What did Jesus say to his brothers through Mary Magdalene?	"I am ascending to my Father and your Father, to my God and your God."	John 20:17
What story did the soldiers who guarded the tomb spread among the Jews?	That Jesus' disciples came by night and stole him while they were asleep.	Matthew 28:13-15
What did Jesus call the two disciples on the road to Emmaus?	"O foolish ones, and slow of heart to believe all that the prophets have spoken!"	Luke 24:25
What did Jesus interpret for the two disciples on the road to Emmaus?	In all the Scriptures the things concerning himself.	Luke 24:27
What did the disciples give Jesus to eat after his resurrection?	A piece of broiled fish.	Luke 24:42
What did Jesus command Peter after asking if he loved him the second time?	"Tend my sheep."	John 21:16
What did the disciples do after the ascension?	They worshiped him and returned to Jerusalem with great joy, and were continually in the temple blessing God.	Luke 24:52-53
How long did Mary stay with Elizabeth?	About three months	Luke 1:56
What did Joseph name the son born to Mary?	Jesus	Matthew 1:25
What did Mary treasure in her heart?	All the things that were said and happened concerning Jesus.	Luke 2:19
How many days did Jesus' parents search for him in Jerusalem?	Three days	Luke 2:46
What did John the Baptist call the Pharisees and Sadducees?	"You brood of vipers!"	Matthew 3:7
After Jesus’ temptation, he returned from the Jordan in the power of what?	The Spirit	Luke 4:14
What was Jesus’ reply to the Devil's offer of all the kingdoms?	"It is written, ‘You shall worship the Lord your God, and him only shall you serve.’"	Luke 4:8
What did Jesus say was the purpose for which he came baptizing with water?	That the Messiah might be revealed to Israel.	John 1:31
Where did the first cleansing of the temple occur?	In Jerusalem at the Passover.	John 2:13
What did Jesus say he who comes from heaven is?	Above all	John 3:31
What was the name of the field that Jacob gave to his son Joseph?	The field near Sychar	John 4:5
What did the Samaritan woman leave behind when she went to tell the townspeople about Jesus?	Her water jar	John 4:28
How long did Jesus stay with the Samaritans in Sychar?	Two days	John 4:40
What did the people of Nazareth say when Jesus taught in their synagogue?	"Is not this Joseph's son?"	Luke 4:22
What prophecy of Isaiah did Jesus fulfill by moving to Capernaum?	The people dwelling in darkness have seen a great light.	Matthew 4:14-16
What were James and John doing in their boat when Jesus called them?	Mending their nets	Matthew 4:21
What happened to the man with the unclean spirit when Jesus cast it out?	The unclean spirit convulsed him and cried out with a loud voice.	Mark 1:26
What did the Pharisees and their scribes grumble about at Levi's feast?	"Why do you eat and drink with tax collectors and sinners?"	Luke 5:30
What did Jesus say about the Son of Man in relation to the Sabbath?	The Son of Man is lord of the Sabbath.	Luke 6:5
What did Jesus name the twelve disciples he chose?	Apostles	Luke 6:13
In the Sermon on the Mount, what did Jesus say about those who mourn?	They shall be comforted.	Matthew 5:4
What did Jesus say would happen if you do good to those who do good to you?	"what benefit is that to you? For even sinners do the same."	Luke 6:33
What did Jesus say about a blind man leading a blind man?	"Will they not both fall into a pit?"	Luke 6:39
What did Jesus say about a disciple and his teacher?	"A disciple is not above his teacher, but everyone when he is fully trained will be like his teacher."	Luke 6:40
What comes out of the abundance of the heart?	The mouth speaks.	Luke 6:45
Who did Jesus say is like a foolish man who built his house on the sand?	Everyone who hears his words and does not do them.	Matthew 7:26
After the Sermon on the Mount, what were the crowds astonished at?	His teaching, for he was teaching them as one who had authority.	Matthew 7:28-29
What was the centurion's servant's condition?	He was lying paralyzed at home, suffering terribly.	Matthew 8:6
What did Jesus say about the faith of the centurion?	"Truly, I tell you, with no one in Israel have I found such faith."	Matthew 8:10
What did John the Baptist's disciples report to him in prison?	The deeds of the Christ.	Matthew 11:2
Who did Jesus say the violent take the kingdom of heaven by force from?	From the days of John the Baptist until now.	Matthew 11:12
What did the people say about John the Baptist's diet?	"He has a demon."	Matthew 11:18
What did the people say about Jesus's eating and drinking habits?	"Look at him! A glutton and a drunkard, a friend of tax collectors and sinners!"	Matthew 11:19
To whom did Jesus say "your faith has saved you; go in peace"?	The sinful woman who anointed his feet.	Luke 7:50
What did Jesus say every kingdom divided against itself is?	Laid waste	Matthew 12:25
According to Mark, what did Jesus' family say about him when they went to seize him?	"He is out of his mind."	Mark 3:21
What did Jesus say is an "eternal sin"?	Blasphemy against the Holy Spirit	Mark 3:29
What did the scribes and Pharisees wish to see from Jesus?	A sign	Matthew 12:38
When the unclean spirit returns to a person, what does it find the "house"?	Empty, swept, and put in order.	Matthew 12:44
In the parable of the soils, what do the seeds that fell among thorns represent?	Those who hear the word, but the cares of the world, deceitfulness of riches, and desires for other things choke it.	Mark 4:7, 18-19
What was Jesus's family doing when he announced his new spiritual kinship?	Standing outside, asking to speak to him.	Matthew 12:46
How many demon-possessed men did Jesus heal in the country of the Gadarenes?	Two	Matthew 8:28
What did the Gerasene demoniac wear?	He had worn no clothes for a long time.	Luke 8:27
Where was Jairus's daughter when he came to Jesus?	At the point of death / had just died.	Mark 5:23, Matthew 9:18
What did the two blind men say when Jesus asked if they believed he could heal them?	"Yes, Lord."	Matthew 9:28
What was the accusation of the Pharisees after Jesus healed the mute man?	"He casts out demons by the prince of demons."	Matthew 9:34
What did Jesus marvel at in his hometown?	Their unbelief	Mark 6:6
What did Jesus say about a laborer?	"the laborer deserves his food" or "his stay"	Matthew 10:10
What did Jesus tell his disciples to be as wise as and as innocent as?	Wise as serpents and innocent as doves.	Matthew 10:16
What did Jesus say would not fall to the ground apart from the Father?	A sparrow	Matthew 10:29
What did Jesus say to those who love their father or mother more than him?	"is not worthy of me"	Matthew 10:37
Where was John the Baptist beheaded?	In prison	Matthew 14:10
Why was King Herod sorry to grant the request for John the Baptist's head?	Because of his oaths and his guests.	Matthew 14:9
What did the disciples say when they were in the boat with only one loaf?	They were discussing the fact they had no bread.	Mark 8:16
What did Peter say about Jesus that caused Jesus to call him Satan?	"Far be it from you, Lord! This shall never happen to you."	Matthew 16:22
Who did the disciples say the people thought Jesus was?	John the Baptist, Elijah, Jeremiah, or one of the prophets.	Matthew 16:14
What did the father of the demon-possessed boy say about his son's affliction?	"From childhood."	Mark 9:21
What was the rivalry among the disciples about?	Who was the greatest in the kingdom.	Matthew 18:1, Mark 9:34
What did Jesus say would happen wherever two or three are gathered in his name?	"there am I among them."	Matthew 18:20
What did the unforgiving servant do when his master forgave his large debt?	He went and found a fellow servant who owed him a small amount and demanded payment.	Matthew 18:28
What feast was at hand when Jesus' brothers urged him to go to Judea?	The Jews’ Feast of Booths	John 7:2
What did the woman caught in adultery say when Jesus asked if anyone condemned her?	"No one, Lord."	John 8:11
What was the Jews' response to Jesus's claim to be from the Father?	"Are we not right in saying that you are a Samaritan and have a demon?"	John 8:48
How did the Jews respond to Jesus's statement, "before Abraham was, I am"?	They picked up stones to throw at him.	John 8:58-59
What did the neighbors say about the man born blind?	Some said, "It is he." Others said, "No, but he is like him."	John 9:9
What was the division among the Pharisees concerning Jesus?	Some said he was not from God because he didn't keep the Sabbath; others said a sinner could not do such signs.	John 9:16
What did the healed blind man say Jesus was?	A prophet	John 9:17
What did the seventy-two say when they returned from their mission?	"Lord, even the demons are subject to us in your name!"	Luke 10:17
What did Jesus say he gave the seventy-two authority over?	"all the power of the enemy"	Luke 10:19
Who stood up to test Jesus with a question about eternal life?	A lawyer	Luke 10:25
What did the Lord answer Martha when she complained about Mary?	"Martha, Martha, you are anxious and troubled about many things, but one thing is necessary. Mary has chosen the good portion..."	Luke 10:41-42
What did Jesus say about a father giving a serpent to his son?	He would not, if his son asks for a fish.	Luke 11:11
Who did Jesus say would rise up in judgment with the men of that generation and condemn them?	The queen of the South	Luke 11:31
What did Jesus say the Pharisees loved in the marketplaces?	Greetings	Luke 11:43
What did the man with the barren fig tree want to do to it?	Cut it down	Luke 13:7
What was wrong with the woman Jesus healed on the Sabbath in Luke 13?	She had a disabling spirit for eighteen years and was bent over.	Luke 13:11
What did Jesus say about his relationship with the Father at the Feast of Dedication?	"I and the Father are one."	John 10:30
What did the guests invited to the great banquet do?	They all alike began to make excuses.	Luke 14:18
What did the father say to his older son?	"Son, you are always with me, and all that is mine is yours."	Luke 15:31
What did Jesus say is sure to come?	Temptations to sin	Luke 17:1
What did the disciples say about the man whose ear was cut off?	The text does not mention their reaction.	John 18:10
How many disciples were fishing at the Sea of Tiberias when Jesus appeared?	Seven	John 21:2
What did Jesus ask Peter three times?	"Simon, son of John, do you love me?"	John 21:15-17
What was Peter's final response to Jesus's repeated question?	"Lord, you know everything; you know that I love you."	John 21:17
What did some of the disciples do when they saw the risen Jesus on the mountain?	They doubted.	Matthew 28:17
What did Jesus say the disciples would be for him?	Witnesses	Luke 24:48
What was Mary's response to the angel's announcement?	"Behold, I am the servant of the Lord; let it be to me according to your word."	Luke 1:38
In Mary's song, who has God brought down from their thrones?	The mighty	Luke 1:52
What was the name of the angel who spoke to Zechariah and Mary?	Gabriel	Luke 1:19, 26
Who did the shepherds find with Mary and Joseph in the manger?	The baby	Luke 2:16
What did Simeon prophesy about Jesus to Mary?	"Behold, this child is appointed for the fall and rising of many in Israel, and for a sign that is opposed"	Luke 2:34
Where did Joseph, Mary, and Jesus live after returning from Egypt?	In a city called Nazareth.	Matthew 2:23
What was the first thing Jesus said after his 40-day fast when tempted by the devil?	"It is written, ‘Man shall not live by bread alone...’"	Matthew 4:4
At the wedding in Cana, how much water did the jars hold?	Twenty or thirty gallons each	John 2:6
What was the name of the man whose disciples questioned Jesus's disciples about fasting?	John the Baptist	Matthew 9:14
What was the name of the pool where the invalid lay for 38 years?	Bethesda	John 5:2
What did David and his men eat that was not lawful?	The bread of the Presence	Matthew 12:4
What was the title given to James and John by Jesus?	Boanerges, which means Sons of Thunder.	Mark 3:17
What did Jesus say about a lamp?	It should not be put under a basket but on a stand.	Matthew 5:15
What did the people of Gadara ask Jesus to do after he healed the demoniac?	To leave their region.	Matthew 8:34
After Jesus healed the demon-possessed mute man, what did the crowds say?	"Never was anything like this seen in Israel."	Matthew 9:33
