Question	Answer	Reference
What did Jesus say comes from within, out of the heart of man?	Evil thoughts, sexual immorality, theft, murder, adultery, coveting, wickedness, deceit, sensuality, envy, slander, pride, foolishness.	Mark 7:21-22
What did Jesus say about the man who asked for bread and was given a stone?	An evil father might, but the heavenly Father gives good things.	Matthew 7:9-11
What did the disciples ask Jesus after he told the parables of the kingdom?	"Why do you speak to them in parables?"	Matthew 13:10
What did the man who had two sons say when his father asked him to work?	The first said 'I will not' but went; the second said 'I will, sir' but did not.	Matthew 21:29-30
What did the tenants do to the owner's servants?	They beat one, killed another, and stoned another.	Matthew 21:35
In the parable of the wedding feast, what did the king's servants say to the invited guests?	"See, I have prepared my dinner, my oxen and my fat calves have been slaughtered, and everything is ready. Come to the wedding feast."	Matthew 22:4
What did Jesus say about the greatest among his followers?	"The greatest among you shall be your servant."	Matthew 23:11
What did Jesus say the hypocrites do to be seen when they give to the needy?	Sound a trumpet before them.	Matthew 6:2
What did Jesus tell the disciples to seek first?	"the kingdom of God and his righteousness"	Matthew 6:33
What did Jesus say to the disciples who worried about what to say when brought before governors?	"do not be anxious how you are to speak or what you are to say, for what you are to say will be given to you in that hour."	Matthew 10:19
What did Jesus say about losing one's life for his sake?	"whoever loses his life for my sake will find it."	Matthew 10:39
What did Jesus say about those who endure to the end?	"the one who endures to the end will be saved."	Matthew 10:22
What did the disciples say about the two brothers who asked to sit at Jesus' right and left?	The ten were indignant.	Matthew 20:24
What was the name of the blind beggar, the son of Timaeus?	Bartimaeus	Mark 10:46
What did Jesus say about the coming of the kingdom of God to the Pharisees?	"The kingdom of God is not coming in ways that can be observed"	Luke 17:20
What did Jesus say the Son of Man must do before his day comes?	"first he must suffer many things and be rejected by this generation."	Luke 17:25
What was the disciples' reaction to Jesus's third prediction of his death?	"they understood none of these things... and they did not grasp what was said."	Luke 18:34
What did the master of the vineyard tell the last group of laborers?	"You go into the vineyard too."	Matthew 20:7
What was the name of the mount where Jesus gave the triumphal entry instructions?	The Mount of Olives	Matthew 21:1
What did the crowds spread on the road for Jesus?	Their cloaks and branches from the trees.	Matthew 21:8
What happened to the fig tree after Jesus cursed it?	It withered at once.	Matthew 21:19b
What was the disciples' question about the fig tree?	"How did the fig tree wither at once?"	Matthew 21:20
What did the second son say in the parable?	"I will, sir"	Matthew 21:30
What did the king in the parable of the wedding feast find among his guests?	A man who had no wedding garment.	Matthew 22:11
What was Jesus's response to the lawyer's question about the great commandment?	He quoted the Shema and the command to love one's neighbor.	Matthew 22:37-39
What did Jesus say the scribes and Pharisees do to their fringes?	Make them long.	Matthew 23:5
What did Jesus say about the blood of all the prophets?	That it would be charged against "this generation".	Luke 11:50
What did the rich man in the parable plan to do with his barns?	Tear them down and build larger ones.	Luke 12:18
What did Jesus say about being unprepared for the Son of Man's coming?	He compared it to a master returning from a wedding feast to find his servants not awake.	Luke 12:36-37
What did Jesus say about a son or an ox falling into a well on the Sabbath?	"Which of you... will not immediately pull him out?"	Luke 14:5
Who did the master of the banquet tell his servant to compel to come in?	People from the highways and hedges.	Luke 14:23
What was the disciples' question to Jesus about the blind man's sin?	"Rabbi, who sinned, this man or his parents, that he was born blind?"	John 9:2
What did Jesus say about the sheep and the voice of a stranger?	"A stranger they will not follow, but they will flee from him, for they do not know the voice of strangers."	John 10:5
What did the disciples say they rejoiced in upon their return?	"Lord, even the demons are subject to us in your name!"	Luke 10:17
What did Jesus tell his disciples they should rejoice in?	"that your names are written in heaven"	Luke 10:20
What was the profession of the man who tested Jesus?	A lawyer	Luke 10:25
Who passed by the injured man before the Samaritan?	A priest and a Levite.	Luke 10:31-32
What did Jesus say about his words and keeping them?	"Whoever has my commandments and keeps them, he it is who loves me."	John 14:21
What did Jesus say about the ruler of this world?	"He has no claim on me"	John 14:30
What did Jesus say would happen to a branch that does not abide in him?	"it is thrown away like a branch and withers; and the branches are gathered, thrown into the fire, and burned."	John 15:6
What did Jesus say about the service to God that some would think they are offering?	Killing his followers.	John 16:2
What did Jesus say about asking the Father on the disciples' behalf?	"I do not say to you that I will ask the Father on your behalf; for the Father himself loves you..."	John 16:26-27
What did Jesus pray his disciples would be sanctified in?	The truth	John 17:17
What did Jesus say to Peter, James, and John in Gethsemane?	"My soul is very sorrowful, even to death; remain here, and watch with me."	Matthew 26:38
What was Judas's greeting to Jesus?	"Greetings, Rabbi!"	Matthew 26:49
What was the name of the man whose son had seizures?	The text does not name him.	Matthew 17:14
What was the name of the place where Jesus was crucified?	Golgotha (The Place of a Skull)	Matthew 27:33
What was the charge against Jesus written on the cross?	"This is Jesus, the King of the Jews."	Matthew 27:37
What did the soldier run and get for Jesus on the cross?	A sponge, filled it with sour wine, and put it on a reed.	Matthew 27:48
What happened to the centurion and those with him when they saw the earthquake?	They were filled with awe.	Matthew 27:54
What did the chief priests and Pharisees call Jesus when speaking to Pilate?	"that impostor"	Matthew 27:63
How did the guards at the tomb react to the angel?	They trembled and became like dead men.	Matthew 28:4
Why were the women who fled the tomb afraid?	Because of what they saw (the young man in a white robe) and heard.	Mark 16:5-8
Who did the two disciples on the road to Emmaus say delivered Jesus to be condemned?	"our chief priests and rulers"	Luke 24:20
What did the disciples on the road to Emmaus do when Jesus acted as if he were going farther?	They urged him strongly to stay with them.	Luke 24:29
How many times did Jesus appear to his disciples after the resurrection, according to the end of John's gospel?	This was the third time.	John 21:14
What did Jesus say to the disciple whom Jesus loved about his own fate?	"If it is my will that he remain until I come, what is that to you? You follow me!"	John 21:22
What did Jesus command his disciples to do in all the world?	"Go into all the world and proclaim the gospel to the whole creation."	Mark 16:15
What did Jesus say would happen to those who believe and are baptized?	They will be saved.	Mark 16:16
What did Jesus do for his disciples before he parted from them?	He led them out as far as Bethany and blessed them.	Luke 24:50
What did Jesus say the disciples would be witnesses of?	"these things" (his suffering, resurrection, and the proclamation of repentance)	Luke 24:48
What was the family relationship between John the Baptist and Jesus?	They were relatives (cousins, though the text says "relative").	Luke 1:36
What did Mary do after the angel departed from her?	She arose and went with haste into the hill country to a town in Judah.	Luke 1:39
What did Joseph and Mary do when they had performed everything according to the Law of the Lord?	They returned into Galilee, to their own town of Nazareth.	Luke 2:39
What was the reaction of those who heard the 12-year-old Jesus in the temple?	They were amazed at his understanding and his answers.	Luke 2:47
According to Mark, what was John the Baptist proclaiming?	A baptism of repentance for the forgiveness of sins.	Mark 1:4
What was the disciples' reaction to the great catch of fish?	They were astonished.	Luke 5:9
What was Jesus's question to the man with the withered hand?	"Is it lawful on the Sabbath to do good or to do harm, to save life or to kill?"	Mark 3:4
What was the name of the disciple who became a traitor?	Judas Iscariot	Luke 6:16
What did Jesus say about the one who hungers and thirsts for righteousness?	"they shall be satisfied"	Matthew 5:6
What did Jesus tell his disciples to do if someone slaps them on the right cheek?	Turn to him the other also.	Matthew 5:39
What did the centurion say about his servant?	"Lord, my servant is lying paralyzed at home, suffering terribly."	Matthew 8:6
Where were the "many" who came from east and west to recline at table with Abraham, Isaac, and Jacob?	In the kingdom of heaven	Matthew 8:11
What was Jesus's question to the crowds about John the Baptist?	"What did you go out into the wilderness to see?"	Matthew 11:7
What did the woman who anointed Jesus's feet bring her ointment in?	An alabaster flask	Luke 7:37
What did Jesus say is known by its fruit?	A tree	Matthew 12:33
What happened when Jesus got into the boat to cross the lake?	A great storm arose on the sea.	Matthew 8:24
Where was Jesus sleeping in the boat?	In the stern, asleep on the cushion.	Mark 4:38
What did the two blind men do when the crowd rebuked them?	They cried out all the more.	Matthew 20:31
Where did the people lay the sick in Gennesaret?	In the marketplaces	Mark 6:56
What did Jesus say about those who seek him because they ate their fill of loaves?	He told them not to work for food that perishes, but for food that endures to eternal life.	John 6:26-27
What did Peter say about Jesus that identified him as divine?	"You are the Holy One of God."	John 6:69
What did Jesus say about the things that come from within?	"All these evil things come from within, and they defile a person."	Mark 7:23
What did the disciples ask Jesus after the second prediction of his death?	The text states they were afraid to ask him.	Mark 9:32
What did Jesus say about receiving one such child in his name?	"Whoever receives one such child in my name receives me"	Matthew 18:5
What did Jesus say to do with a brother who sins against you?	Go and tell him his fault between you and him alone.	Matthew 18:15
What did Jesus's brothers say about working in secret?	"no one works in secret if he seeks to be known openly."	John 7:4
What did Jesus say about judging by appearances?	"Do not judge by appearances, but judge with right judgment."	John 7:24
What did Jesus say about those who are of the world?	"If you were of the world, the world would love you as its own"	John 15:19
What did the seventy-two say about the spirits?	They are subject to them in Jesus's name.	Luke 10:17
What did the master of the house say to the first servant who made excuses?	The text does not record a direct response to the first servant.	Luke 14:18-21
What did the Pharisees ridicule Jesus for?	His teachings on wealth, because they were lovers of money.	Luke 16:14
What did Jesus say about the man who was justified, the Pharisee or the tax collector?	The tax collector went down to his house justified, rather than the other.	Luke 18:14
What was Jesus's question to the mother of Zebedee's sons?	"What do you want?"	Matthew 20:21
What did Jesus say about the coming kingdom of our father David?	Those who followed him shouted, "Blessed is the coming kingdom of our father David!"	Mark 11:10
What did Jesus say about the kingdom of God to the scribe who answered wisely?	"You are not far from the kingdom of God."	Mark 12:34
What did Jesus say about those who swear by the temple?	They swear by it and by him who dwells in it.	Matthew 23:21
What did Jesus say his followers would gain by their endurance?	Their lives	Luke 21:19
What did Jesus say his followers should do when they see things begin to take place?	"straighten up and raise your heads, because your redemption is drawing near."	Luke 21:28
What did the wise virgins say to the foolish virgins?	"Since there will not be enough for us and for you, go rather to the dealers and buy for yourselves."	Matthew 25:9
What did the master say to the servant who earned two more talents?	"Well done, good and faithful servant... Enter into the joy of your master."	Matthew 25:23
What was the name of the high priest where the elders gathered?	Caiaphas	Matthew 26:3
What did Jesus say about the one who dipped his hand in the dish with him?	"He who has dipped his hand in the dish with me will betray me."	Matthew 26:23
What did Jesus say the new commandment was?	"that you love one another: just as I have loved you, you also are to love one another."	John 13:34
What did Jesus say about taking his life from him?	"No one takes it from me, but I lay it down of my own accord."	John 10:18
What did Jesus say would convict the world concerning sin?	"because they do not believe in me"	John 16:9
What did Jesus say would convict the world concerning judgment?	"because the ruler of this world is judged"	John 16:11
What did Jesus say about asking in figures of speech?	"The hour is coming when I will no longer speak to you in figures of speech but will tell you plainly about the Father."	John 16:25
What did Jesus pray the Father would do with his disciples?	"keep them in your name... that they may be one"	John 17:11
What did Jesus say about those who are not of the world?	That the world has hated them.	John 17:14
What did Jesus say about the servant of the high priest after his ear was cut off?	"No more of this!" And he touched his ear and healed him.	Luke 22:51
What did Jesus say to the chief priests and elders who came to arrest him?	"Have you come out as against a robber, with swords and clubs?"	Luke 22:52
What was the judgment of the whole council against Jesus?	They all condemned him as deserving death.	Mark 14:64
What did Pilate say when he washed his hands?	"I am innocent of this man’s blood; see to it yourselves."	Matthew 27:24
What was the first thing the soldiers did after taking Jesus into the governor's headquarters?	They gathered the whole battalion before him.	Matthew 27:27
What did the inscription on the cross say, according to Mark?	"The King of the Jews."	Mark 15:26
What did the soldiers say to Jesus on the cross, according to Luke?	"If you are the King of the Jews, save yourself!"	Luke 23:37
Who took down Jesus's body from the cross?	Joseph of Arimathea	Mark 15:46
What did Nicodemus and Joseph of Arimathea do with Jesus's body?	They took the body of Jesus and bound it in linen cloths with the spices.	John 19:40
What did the women see at the tomb, besides the two men?	The stone rolled away from the tomb, but not the body of the Lord Jesus.	Luke 24:2-3
What did Peter do when he ran to the tomb?	He stooped and looked in.	Luke 24:12
What did Jesus ask Mary Magdalene at the tomb?	"Woman, why are you weeping? Whom are you seeking?"	John 20:15
What did the chief priests give the soldiers to spread the story?	A sufficient sum of money	Matthew 28:12
What did the two disciples say to each other on the road to Emmaus?	"Did not our hearts burn within us while he talked to us on the road...?"	Luke 24:32
What did the eleven and those with them say when the two disciples returned?	"The Lord has risen indeed, and has appeared to Simon!"	Luke 24:34
What did Jesus do with the piece of broiled fish?	He took it and ate before them.	Luke 24:43
How many large fish were in the net?	153	John 21:11
What did the disciples do when they saw the risen Jesus in Galilee?	They worshiped him, but some doubted.	Matthew 28:17
Where did the Lord Jesus preach after his ascension?	The disciples preached everywhere, while the Lord worked with them.	Mark 16:20
What did the disciples do continually after the ascension?	They were continually in the temple blessing God.	Luke 24:53
What did Mary do when she heard Elizabeth's greeting?	She spoke her song of joy (the Magnificat).	Luke 1:46
What did Simeon say he could do now that he had seen salvation?	"Lord, now you are letting your servant depart in peace"	Luke 2:29
What was John the Baptist's message to the Pharisees and Sadducees?	"Bear fruit in keeping with repentance."	Matthew 3:8
Where did Jesus go after being baptized?	He came up from the water, and the Spirit descended on him.	Matthew 3:16
What did Jesus answer to the tempter's final challenge in Matthew?	"Be gone, Satan! For it is written, ‘You shall worship the Lord your God and him only shall you serve.’"	Matthew 4:10
What did the servants at the wedding know that the master of the feast did not?	Where the wine came from.	John 2:9
What did Jesus say about the one who does not believe?	"whoever does not believe is condemned already"	John 3:18
Who did Jesus say gives life to the world?	The bread of God who comes down from heaven.	John 6:33
What did Jesus say is the work of God?	"that you believe in him whom he has sent."	John 6:29
How did the disciples react to Jesus's teaching on eating his flesh and drinking his blood?	Many said, "This is a hard saying; who can listen to it?"	John 6:60
What did Jesus say about his words being spirit and life?	"The words that I have spoken to you are spirit and life."	John 6:63
What did Jesus's disciples ask him to explain?	The parable about what defiles a person.	Matthew 15:15
How did Jesus heal the blind man at Bethsaida?	He spit on his eyes and laid his hands on him, twice.	Mark 8:23, 25
What was the disciples' reaction to the Transfiguration?	They fell on their faces and were terrified.	Matthew 17:6
What did Jesus say about those who are not against us?	"the one who is not against us is for us."	Mark 9:40
What did Jesus say about salt?	"Salt is good, but if the salt has lost its saltiness, how will you make it salty again? Have salt in yourselves, and be at peace with one another."	Mark 9:50
What was the first thing the Samaritan woman said to Jesus?	"How is it that you, a Jew, ask for a drink from me, a woman of Samaria?"	John 4:9
What did Jesus say about the harvest?	"The fields are white for harvest."	John 4:35
What was the first question Jesus asked the paralytic's friends?	The text does not show him asking them a question, but he spoke to the paralytic first.	Mark 2:5
What did the rich man in Hades worry about?	His five brothers, that they would also come to that place of torment.	Luke 16:28
What did the tax collector pray for?	"God, be merciful to me, a sinner!"	Luke 18:13
What was the disciples' reaction to the feeding of the four thousand?	They asked where they could get enough bread in a desolate place.	Matthew 15:33
What did Jesus say about his "cup"?	He asked James and John if they were able to drink the cup that he was to drink.	Matthew 20:22
What was the name of the place where Jesus told his disciples to find a donkey?	Bethphage	Matthew 21:1
What did Jesus say about the tenants of the vineyard?	"He will put those wretches to a miserable death and let out the vineyard to other tenants"	Matthew 21:41
What was the second woe against the scribes and Pharisees?	For making a proselyte twice as much a child of hell as themselves.	Matthew 23:15
What did Jesus say would happen to the love of many?	It will grow cold because lawlessness will be increased.	Matthew 24:12
What did the master do with the talent from the worthless servant?	He gave it to the one who had the ten talents.	Matthew 25:28
What did Judas do from the moment he was paid?	He sought an opportunity to betray Jesus.	Matthew 26:16
What did Jesus say about a new commandment?	That he was giving them a new one: to love one another.	John 13:34
What did Jesus say about his relationship with his disciples?	"I am the vine; you are the branches."	John 15:5
What did Jesus say about his disciples asking him things "in that day"?	"In that day you will ask nothing of me."	John 16:23
What was the name of the brook Jesus crossed to get to Gethsemane?	The brook Kidron	John 18:1
What did the chief priests say to Pilate about the inscription?	"Do not write, ‘The King of the Jews,’ but rather, ‘This man said, I am King of the Jews.’"	John 19:21
What did the soldiers do to Jesus to mock him as king?	They stripped him, put a scarlet robe on him, twisted a crown of thorns for his head, put a reed in his hand, and knelt before him.	Matthew 27:28-29
What was the last thing Jesus said before giving up his spirit, according to John?	"It is finished."	John 19:30
What did the women do on the Sabbath?	They returned and prepared spices and ointments, and rested according to the commandment.	Luke 23:56
What did the young man at the tomb tell the women to do?	"go, tell his disciples and Peter that he is going before you to Galilee."	Mark 16:7
What was the reason the disciples did not understand that Jesus must rise from the dead?	The text simply states "for as yet they did not understand the Scripture..."	John 20:9
What did the soldiers say to do with Jesus's tunic?	"Let us not tear it, but cast lots for it to see whose it shall be."	John 19:24
What did Jesus do with the disciples after his resurrection in Jerusalem?	He opened their minds to understand the Scriptures.	Luke 24:45
Who was the first person to see the risen Jesus, according to Mark?	Mary Magdalene	Mark 16:9
What was the name of the sea where Jesus appeared to the seven disciples?	The Sea of Tiberias	John 21:1
What did the disciples on the shore see?	A charcoal fire in place, with fish laid out on it, and bread.	John 21:9
What was Peter's response to Jesus's prophecy about his death?	He asked about the disciple whom Jesus loved.	John 21:21
What did Jesus say his disciples would be able to do in his name?	Cast out demons and speak in new tongues.	Mark 16:17
What was Jesus doing when he was taken up into heaven?	He was blessing his disciples.	Luke 24:51
Where was Zechariah when the angel appeared to him?	In the temple of the Lord, at the right side of the altar of incense.	Luke 1:9, 11
What was the name of the man whose son Jesus was, as was supposed?	Joseph	Luke 3:23b
What happened when the wise men saw the star stop over the house?	They rejoiced exceedingly with great joy.	Matthew 2:10
What did the crowd ask John the Baptist to do?	They asked him, "What then shall we do?"	Luke 3:10
Who was the brother of Jesus who later saw the risen Lord?	James	1 Corinthians 15:7
What was the first thing Jesus said to the cleansed leper?	"I will; be clean."	Mark 1:41
What was the name of the pool in Aramaic that had five roofed colonnades?	Bethesda	John 5:2
What did the man healed at Bethesda do after Jesus found him in the temple?	He went away and told the Jews that it was Jesus who had healed him.	John 5:15
What did Jesus say about those who are merciful?	"they shall receive mercy"	Matthew 5:7
What did Jesus say about those who are pure in heart?	"they shall see God"	Matthew 5:8
What did Jesus say about those who are peacemakers?	"they shall be called sons of God"	Matthew 5:9
Where did Jesus go when he entered Capernaum, according to Matthew 8?	He had just come down from the mountain after the Sermon on the Mount.	Matthew 8:1, 5
What happened when the dead man, the widow's son, was raised?	He sat up and began to speak.	Luke 7:15
What did the people of the Gerasenes do after seeing the healed man?	They began to beg Jesus to depart from their region.	Mark 5:17
What did Jesus say about his disciples being dragged before governors and kings?	It would be "to bear witness before them and the Gentiles."	Matthew 10:18
How did Peter react when Jesus told him he would deny him?	He said emphatically, "If I must die with you, I will not deny you."	Mark 14:31
What did the Jews say when they saw Jesus weep?	"See how he loved him!"	John 11:36
Who did Caiaphas say Jesus would die for?	The nation, and also to gather into one the children of God who are scattered abroad.	John 11:51-52
What did Jesus say about Lot's wife?	"Remember Lot’s wife."	Luke 17:32
What did Jesus say about the coming Son of Man's glory?	He will come in his glory and the glory of the Father and of the holy angels.	Luke 9:26
What did Jesus say to the scribe who wanted to follow him wherever he went?	"Foxes have holes, and birds of the air have nests, but the Son of Man has nowhere to lay his head."	Matthew 8:20
What was the reaction of the disciples to Jesus's teaching on divorce?	They asked him again about this matter in the house.	Mark 10:10
What did the crowds do during the Sermon on the Mount?	The text does not specify their actions during, only that they were astonished after.	Matthew 7:28
What did the master of the house do when the banquet was ready and the guests made excuses?	He became angry.	Luke 14:21
What did the father do when his older son was angry?	He came out and entreated him.	Luke 15:28
Who was the brother of Philip the tetrarch?	Herod the tetrarch	Luke 3:1
What did Jesus say about his relationship to the Father to his disciples?	"If you had known me, you would have known my Father also."	John 14:7
What did Jesus say about peace?	"Peace I leave with you; my peace I give to you."	John 14:27
What did the disciples say after Jesus told them he was going to the Father?	They asked how they could know the way.	John 14:5
What did the disciples do after the Last Supper and before going to Gethsemane?	They had sung a hymn.	Matthew 26:30
Who did the soldiers mock besides Jesus?	The text does not specify they mocked others at that time.	Matthew 27:27-31
Who was guarding the tomb?	A guard of soldiers.	Matthew 27:65
What did Mary Magdalene suppose Jesus was?	The gardener	John 20:15
What did the two disciples on the road to Emmaus say about the women from their company?	"They were at the tomb early in the morning, and when they did not find his body, they came back saying that they had even seen a vision of angels, who said that he was alive."	Luke 24:22-23
What did Jesus say to the disciples about his hands and feet?	"See my hands and my feet, that it is I myself. Touch me, and see."	Luke 24:39
What did the other disciples do in the boat while Peter was in the sea?	They came in the boat, dragging the net full of fish.	John 21:8
What did Jesus say to Peter that grieved him?	The third time he asked, "Do you love me?"	John 21:17
What was the final command Jesus gave to Peter?	"Follow me."	John 21:19
What did the apostles do after Jesus ascended?	They went out and preached everywhere.	Mark 16:20
What did the wise men do when they saw the child with Mary?	They fell down and worshiped him.	Matthew 2:11
Where were Jesus' parents searching for him?	Among their relatives and acquaintances.	Luke 2:44
Who was the tetrarch of Abilene?	Lysanias	Luke 3:1
What did John the Baptist tell the people with extra food to do?	Share with him who has none.	Luke 3:11
Where were the wild animals during Jesus' temptation?	In the wilderness with him.	Mark 1:13
What did the healed leper do that made it difficult for Jesus to enter a town openly?	He began to talk freely about it and to spread the news.	Mark 1:45
What did Jesus say to the scribes who questioned his authority to forgive sins?	"Why do you question these things in your hearts?"	Mark 2:8
What happened to the disciples who were with Jesus during the Sermon on the Mount?	They came to him when he sat down.	Matthew 5:1
What did Jesus say about those who are rich, in the Sermon on the Plain?	"Woe to you who are rich, for you have received your consolation."	Luke 6:24
What did Jesus say about a tree and its fruit?	"each tree is known by its own fruit."	Luke 6:44
What did the elders of the Jews say about the centurion?	"He is worthy to have you do this for him, for he loves our nation, and he is the one who built us our synagogue."	Luke 7:4-5
What did Jesus say about the Son of Man being Lord of the Sabbath?	He said it after his disciples plucked grain on the Sabbath.	Luke 6:5
What did Jesus do after healing Peter's mother-in-law?	That evening, he cast out many spirits and healed all who were sick.	Matthew 8:16
What did the Gerasenes do after Jesus healed the demoniac?	They asked him to depart from them, for they were seized with great fear.	Luke 8:37
What was the name of the man who asked Jesus to heal his daughter?	Jairus	Luke 8:41
What was the name of the place where Jesus fed the five thousand, according to Mark?	A desolate place.	Mark 6:35
What did Jesus say to the disciples when they returned from their mission?	"Come away by yourselves to a desolate place and rest a while."	Mark 6:31
What did the people do when they saw the sign of the feeding of the five thousand?	They wanted to come and take him by force to make him king.	John 6:14-15
What did Jesus say about his Father giving bread from heaven?	"my Father gives you the true bread from heaven."	John 6:32
What did Jesus say about the one who hears his word and believes?	"has eternal life. He does not come into judgment, but has passed from death to life."	John 5:24
What did Jesus say about the tradition of men?	"You leave the commandment of God and hold to the tradition of men."	Mark 7:8
What was the name of the district where Jesus went after the conflict over tradition?	The district of Tyre and Sidon.	Matthew 15:21
What did Jesus do when he healed the man with the withered hand?	He told him, "Stretch out your hand."	Matthew 12:13
What was the name of the place where Peter made his confession?	The district of Caesarea Philippi	Matthew 16:13
What did Jesus say about the cost of following him?	"If anyone would come after me, let him deny himself and take up his cross and follow me."	Matthew 16:24
What was the appearance of Jesus's clothes at the Transfiguration?	They became radiant, intensely white, as no one on earth could bleach them.	Mark 9:3
What was the disciples' question to Jesus about rising from the dead?	They kept the matter to themselves, questioning what this rising from the dead might mean.	Mark 9:10
What did Jesus say about a cup of water given in his name?	"whoever gives you a cup of water to drink because you belong to Christ will by no means lose his reward."	Mark 9:41
What did the man say to Jesus who wanted to bury his father first?	"Lord, let me first go and bury my father."	Luke 9:59
What did Jesus say to the man who wanted to bury his father?	"Leave the dead to bury their own dead. But as for you, go and proclaim the kingdom of God."	Luke 9:60
What did the officers say when they failed to arrest Jesus?	"No one ever spoke like this man!"	John 7:46
What did Jesus say to those who believed in him?	"If you abide in my word, you are truly my disciples"	John 8:31
What did Jesus say about Abraham?	"Your father Abraham rejoiced that he would see my day. He saw it and was glad."	John 8:56
What did the Pharisees say was the reason the blind man was cast out?	"You were born in utter sin, and would you teach us?"	John 9:34
What did Jesus say to the healed blind man?	"Do you believe in the Son of Man?"	John 9:35
What did Jesus say about his knowledge of his sheep?	"I know my own and my own know me"	John 10:14
What did the people of Chorazin and Bethsaida fail to do?	Repent	Matthew 11:20
What did Jesus say about the Sabbath and an ox?	"Does not each of you on the Sabbath untie his ox or his donkey from the manger and lead it away to water it?"	Luke 13:15
What did Jesus say he would do for those who believe in him, in John 14?	"greater works than these will he do, because I am going to the Father."	John 14:12
What did Jesus say he and the disciples would do with the one who loves him?	"we will come to him and make our home with him."	John 14:23
What did Jesus say the Father does to a branch that bears fruit?	He prunes it, that it may bear more fruit.	John 15:2
What did the disciples say after Jesus spoke plainly about his departure?	"Now we know that you know all things and do not need anyone to question you"	John 16:30
What did Jesus say he had given his disciples from his Father?	His word/the words	John 17:8, 14
What did the soldiers do with the betrayer Judas?	The text does not specify their interaction with Judas after the arrest.	Matthew 26:47-50
What did Jesus say about his ability to call angels?	"Do you think that I cannot appeal to my Father, and he will at once send me more than twelve legions of angels?"	Matthew 26:53
What was Peter doing in the courtyard?	Sitting with the guards to see the end, and warming himself by the fire.	Matthew 26:58, Mark 14:54
What did the servant girl say to Peter?	"You also were with Jesus the Galilean."	Matthew 26:69
What did the bystanders say to Peter?	"Certainly you too are one of them, for your accent betrays you."	Matthew 26:73
What did the chief priests and elders say to Pilate about Jesus's disciples?	They persuaded the crowd to ask for Barabbas instead.	Matthew 27:20
What did the soldiers do with Jesus's clothes at the crucifixion?	They divided his garments among them by casting lots.	Matthew 27:35
Who did Jesus commit his spirit to?	The Father	Luke 23:46
Who took Jesus's body and laid it in his own new tomb?	Joseph of Arimathea	Matthew 27:59-60
Who was with Mary Magdalene when she went to the tomb on the first day of the week?	The other Mary	Matthew 28:1
What did the women do when they left the tomb?	They departed quickly with fear and great joy, and ran to tell his disciples.	Matthew 28:8
What did Peter find in the tomb?	The linen cloths by themselves.	Luke 24:12
What did the disciples on the road to Emmaus say about the chief priests and rulers?	That they delivered Jesus up to be condemned to death and crucified him.	Luke 24:20
How many of the disciples were assembled when Jesus appeared to them?	The ten (or eleven, depending on the account)	Mark 16:14, Luke 24:33
What did Jesus do after showing the disciples his hands and side?	He said, "Peace be with you. As the Father has sent me, even so I am sending you."	John 20:21
What did Jesus say to Peter about his love for him?	He asked him three times if he loved him.	John 21:15-17
What did Jesus say would happen to those who drink any deadly poison?	It will not hurt them.	Mark 16:18
Where did the disciples return after the ascension?	To Jerusalem	Luke 24:52
In the beginning, what was the light of?	Men	John 1:4
How long had Elizabeth been barren?	The text says she was advanced in years.	Luke 1:7
What was the name of the house where Mary went to visit Elizabeth?	The house of Zechariah	Luke 1:40
What did the shepherds do after seeing Jesus?	They returned, glorifying and praising God.	Luke 2:20
What did the prophet Isaiah say about the one crying in the wilderness?	"Prepare the way of the Lord; make his paths straight."	Matthew 3:3
What did the healed leper do that caused Jesus to withdraw to desolate places?	He spread the news freely.	Luke 5:15-16
What did Jesus say about a person who is not against him?	"the one who is not against you is for you."	Luke 9:50
What was the name of the Pharisee who invited Jesus to eat with him?	Simon	Luke 7:40
What did the Gerasene demoniac say his name was?	"My name is Legion, for we are many."	Mark 5:9
What did the disciples say about the woman who touched Jesus's garment?	"You see the crowd pressing around you, and yet you say, ‘Who touched me?’"	Mark 5:31
What did Jesus say to the disciples who wanted to forbid someone from casting out demons?	"Do not stop him, for no one who does a mighty work in my name will be able soon afterward to speak evil of me."	Mark 9:39
What did Jesus say to do if your foot causes you to sin?	"cut it off"	Mark 9:45
What was the disciples' reaction to Jesus's teaching about greatness?	They had argued with one another about who was the greatest.	Mark 9:34
What did the unforgiving servant's master call him?	"You wicked servant!"	Matthew 18:32
What did Jesus say about the law of Moses and circumcision on the Sabbath?	"If on the Sabbath a man receives circumcision, so that the law of Moses may not be broken, are you angry with me because on the Sabbath I made a man’s whole body well?"	John 7:23
What did the good shepherd do for his sheep?	He calls his own sheep by name and leads them out.	John 10:3
What did Jesus say about the kingdom of God to the people of Chorazin and Bethsaida?	He pronounced woes upon them for their failure to repent.	Luke 10:13
What was the question the lawyer asked Jesus to justify himself?	"And who is my neighbor?"	Luke 10:29
What did the master of the house say after his servant reported there was still room?	"Go out to the highways and hedges and compel people to come in, that my house may be filled."	Luke 14:23
What was the elder son's response to his father's entreaty?	He complained that he had served for many years and never received even a young goat for a feast.	Luke 15:29
What did Abraham say the rich man's brothers had?	"They have Moses and the Prophets; let them hear them."	Luke 16:29
What did Jesus say to the one who sins seven times and repents seven times?	"you must forgive him."	Luke 17:4
